learning_rate;weight_decay;epochs;optimizer;reduction;criterion;device;batch_size;clip_value;test_threshold;shuffle;cudnn_enabled;run_number;timestamp;train_results;val_results;test_results
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;39;2024-01-14 11:21:31;3,76;4,2;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;40;2024-01-14 11:21:31;3,75;4,16;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;41;2024-01-14 11:21:31;3,74;4,16;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;42;2024-01-14 11:21:31;3,73;4,17;0,78
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;43;2024-01-14 11:21:31;3,73;4,12;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;44;2024-01-14 11:21:31;3,72;4,14;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;45;2024-01-14 11:21:31;3,71;4,16;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;46;2024-01-14 11:21:31;3,7;4,13;0,79
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;47;2024-01-14 11:21:31;3,69;4,15;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;48;2024-01-14 11:21:31;3,69;4,12;0,81
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;49;2024-01-14 11:21:31;3,68;4,12;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;50;2024-01-14 11:21:31;3,67;4,12;0,8
0,001;0,001;200;Adagrad;sum;L1Loss;cuda;64;0,5;1,0;True;True;51;2024-01-14 11:21:31;3,66;4,11;0,81
